cost_multiplier,agent,action,duration,cost,level,time,phase,site_depth,hub_height,per_trip,phase_name,site_position_time,location
,WTIV,Crane Reequip,1.0,10416.666666666666,ACTION,664.7288494869971,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,
,WTIV,Lower TP,1.0,10416.666666666666,ACTION,665.7288494869971,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,
,WTIV,Bolt TP,4.0,41666.666666666664,ACTION,669.7288494869971,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,
,WTIV,Jackdown,0.31666666666666665,3298.611111111111,ACTION,670.0455161536638,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,
,WTIV,Transit,43.24324324324324,450450.4504504504,ACTION,713.288759396907,MonopileInstallation,,,,,,
,WTIV,Fasten Monopile,12.0,125000.0,ACTION,725.288759396907,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,
,WTIV,Fasten Transition Piece,8.0,83333.33333333333,ACTION,733.288759396907,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,
,WTIV,Fasten Monopile,12.0,125000.0,ACTION,745.288759396907,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,
,WTIV,Fasten Transition Piece,8.0,83333.33333333333,ACTION,753.288759396907,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,
,WTIV,Fasten Monopile,12.0,125000.0,ACTION,765.288759396907,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,
,WTIV,Fasten Transition Piece,8.0,83333.33333333333,ACTION,773.288759396907,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,
,WTIV,Fasten Monopile,12.0,125000.0,ACTION,785.288759396907,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,
