cost_multiplier,agent,action,duration,cost,level,time,phase,phase_name,location,site_depth,hub_height
,WTIV,Lift Blade,1.5,25000.0,ACTION,4453.588902661002,TurbineInstallation,TurbineInstallation,,22.5,150.0
,WTIV,Attach Blade,3.5,58333.333333333336,ACTION,4457.088902661002,TurbineInstallation,TurbineInstallation,,22.5,150.0
,WTIV,Release Blade,1.0,16666.666666666668,ACTION,4458.088902661002,TurbineInstallation,,,,
,WTIV,Lift Blade,1.5,25000.0,ACTION,4459.588902661002,TurbineInstallation,TurbineInstallation,,22.5,150.0
,WTIV,Attach Blade,3.5,58333.333333333336,ACTION,4463.088902661002,TurbineInstallation,TurbineInstallation,,22.5,150.0
,WTIV,Release Blade,1.0,16666.666666666668,ACTION,4464.088902661002,TurbineInstallation,,,,
,WTIV,Lift Blade,1.5,25000.0,ACTION,4465.588902661002,TurbineInstallation,TurbineInstallation,,22.5,150.0
,WTIV,Attach Blade,3.5,58333.333333333336,ACTION,4469.088902661002,TurbineInstallation,TurbineInstallation,,22.5,150.0
,WTIV,Jackdown,0.31666666666666665,5277.777777777778,ACTION,4469.405569327669,TurbineInstallation,TurbineInstallation,,22.5,150.0
,WTIV,Position Onsite,2.0,33333.333333333336,ACTION,4471.405569327669,TurbineInstallation,,,,
,WTIV,Jackup,0.31666666666666665,5277.777777777778,ACTION,4471.722235994335,TurbineInstallation,TurbineInstallation,,22.5,150.0
,WTIV,Release Tower Section,3.0,50000.0,ACTION,4474.722235994335,TurbineInstallation,,,,
,WTIV,Lift Tower Section,0.38,6333.333333333334,ACTION,4475.102235994335,TurbineInstallation,TurbineInstallation,,22.5,150.0
,WTIV,Attach Tower Section,6.0,100000.0,ACTION,4481.102235994335,TurbineInstallation,TurbineInstallation,,22.5,150.0
,WTIV,Release Tower Section,3.0,50000.0,ACTION,4484.102235994335,TurbineInstallation,,,,
,WTIV,Lift Tower Section,0.76,12666.666666666668,ACTION,4484.862235994336,TurbineInstallation,TurbineInstallation,,22.5,150.0
,WTIV,Attach Tower Section,6.0,100000.0,ACTION,4490.862235994336,TurbineInstallation,TurbineInstallation,,22.5,150.0
,WTIV,Release Tower Section,3.0,50000.0,ACTION,4493.862235994336,TurbineInstallation,,,,
,WTIV,Lift Tower Section,1.14,19000.0,ACTION,4495.002235994336,TurbineInstallation,TurbineInstallation,,22.5,150.0
,WTIV,Attach Tower Section,6.0,100000.0,ACTION,4501.002235994336,TurbineInstallation,TurbineInstallation,,22.5,150.0
,WTIV,Release Tower Section,3.0,50000.0,ACTION,4504.002235994336,TurbineInstallation,,,,
,WTIV,Lift Tower Section,1.52,25333.333333333336,ACTION,4505.5222359943355,TurbineInstallation,TurbineInstallation,,22.5,150.0
,WTIV,Attach Tower Section,6.0,100000.0,ACTION,4511.5222359943355,TurbineInstallation,TurbineInstallation,,22.5,150.0
,WTIV,Release Nacelle,3.0,50000.0,ACTION,4514.5222359943355,TurbineInstallation,,,,
,WTIV,Reequip,1.0,16666.666666666668,ACTION,4515.5222359943355,TurbineInstallation,,,,
,WTIV,Lift Nacelle,1.5,25000.0,ACTION,4517.0222359943355,TurbineInstallation,TurbineInstallation,,22.5,150.0
,WTIV,Attach Nacelle,6.0,100000.0,ACTION,4523.0222359943355,TurbineInstallation,TurbineInstallation,,22.5,150.0
,WTIV,Reequip,1.0,16666.666666666668,ACTION,4524.0222359943355,TurbineInstallation,,,,
,WTIV,Release Blade,1.0,16666.666666666668,ACTION,4525.0222359943355,TurbineInstallation,,,,
,WTIV,Lift Blade,1.5,25000.0,ACTION,4526.5222359943355,TurbineInstallation,TurbineInstallation,,22.5,150.0
,WTIV,Delay,13.0,216666.6666666667,ACTION,4539.5222359943355,TurbineInstallation,TurbineInstallation,,22.5,150.0
,WTIV,Attach Blade,3.5,58333.333333333336,ACTION,4543.0222359943355,TurbineInstallation,TurbineInstallation,,22.5,150.0
,WTIV,Release Blade,1.0,16666.666666666668,ACTION,4544.0222359943355,TurbineInstallation,,,,
,WTIV,Lift Blade,1.5,25000.0,ACTION,4545.5222359943355,TurbineInstallation,TurbineInstallation,,22.5,150.0
,WTIV,Attach Blade,3.5,58333.333333333336,ACTION,4549.0222359943355,TurbineInstallation,TurbineInstallation,,22.5,150.0
,WTIV,Release Blade,1.0,16666.666666666668,ACTION,4550.0222359943355,TurbineInstallation,,,,
,WTIV,Delay,2.0,33333.333333333336,ACTION,4552.0222359943355,TurbineInstallation,TurbineInstallation,,22.5,150.0
,WTIV,Lift Blade,1.5,25000.0,ACTION,4553.5222359943355,TurbineInstallation,TurbineInstallation,,22.5,150.0
,WTIV,Delay,2.0,33333.333333333336,ACTION,4555.5222359943355,TurbineInstallation,TurbineInstallation,,22.5,150.0
,WTIV,Attach Blade,3.5,58333.333333333336,ACTION,4559.0222359943355,TurbineInstallation,TurbineInstallation,,22.5,150.0
,WTIV,Jackdown,0.31666666666666665,5277.777777777778,ACTION,4559.338902661002,TurbineInstallation,TurbineInstallation,,22.5,150.0
,WTIV,Transit,3.2432432432432434,54054.05405405406,ACTION,4562.582145904245,TurbineInstallation,,,,
,WTIV,Fasten Tower Section,4.0,66666.66666666667,ACTION,4566.582145904245,TurbineInstallation,TurbineInstallation,,22.5,150.0
,WTIV,Fasten Tower Section,4.0,66666.66666666667,ACTION,4570.582145904245,TurbineInstallation,TurbineInstallation,,22.5,150.0
,WTIV,Fasten Tower Section,4.0,66666.66666666667,ACTION,4574.582145904245,TurbineInstallation,TurbineInstallation,,22.5,150.0
,WTIV,Fasten Tower Section,4.0,66666.66666666667,ACTION,4578.582145904245,TurbineInstallation,TurbineInstallation,,22.5,150.0
