cost_multiplier,agent,action,duration,cost,level,time,phase,site_depth,hub_height,per_trip,phase_name
,WTIV,Fasten Transition Piece,8.0,133333.33333333334,ACTION,676.775245883393,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
,WTIV,Fasten Monopile,12.0,200000.0,ACTION,688.775245883393,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
,WTIV,Fasten Transition Piece,8.0,133333.33333333334,ACTION,696.775245883393,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
,WTIV,Transit,3.2432432432432434,54054.05405405406,ACTION,700.0184891266363,MonopileInstallation,,,,
,WTIV,Position Onsite,2.0,33333.333333333336,ACTION,702.0184891266363,MonopileInstallation,,,,
,WTIV,Jackup,0.31666666666666665,5277.777777777778,ACTION,702.335155793303,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
,WTIV,RovSurvey,1.0,16666.666666666668,ACTION,703.335155793303,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
,WTIV,Release Monopile,3.0,50000.0,ACTION,706.335155793303,MonopileInstallation,,,,
,WTIV,Upend Monopile,0.7230655353278155,12051.092255463593,ACTION,707.0582213286308,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
,WTIV,Delay,3.0,50000.0,ACTION,710.0582213286308,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
,WTIV,Lower Monopile,0.0032500000000000003,54.16666666666668,ACTION,710.0614713286308,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
,WTIV,Crane Reequip,1.0,16666.666666666668,ACTION,711.0614713286308,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
,WTIV,Drive Monopile,1.5,25000.0,ACTION,712.5614713286308,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
,WTIV,Release Transition Piece,2.0,33333.333333333336,ACTION,714.5614713286308,MonopileInstallation,,,,
